A	B
scopolamine	SI
SDZ-205-557	HTR3A
SDZ-205-557	HTR3B
SDZ-205-557	HTR4
SDZ-NKT-343	TACR1
SDZ-WAG-994	ADORA1
SEW-2871	S1PR1
SIB-1757	GRM5
skatole	F2
SKF-77434	DRD1
SKF-81297	DRD1
SKF-81297	DRD5
SKF-86002	ALOX5
SKF-86002	MAPK14
SKF-89976A	SLC6A1
SA-792728	SPHK1
SA-792728	VCP
pyrazolanthrone	MAPK10
pyrazolanthrone	MAPK8
pyrazolanthrone	MAPK9
pyrazolanthrone	TTK
pyrazolanthrone	LRRK2
pyrazolanthrone	MAPK8IP1
SQ-22536	ADCY1
SQ-22536	ADCY5
SR-142948	NTSR1
SR-27897	CCKAR
relcovaptan	AVPR1A
relcovaptan	AVPR1B
relcovaptan	AVPR2
relcovaptan	OXTR
SR-57227A	HTR3A
SR-59230A	ADRB3
SR-59230A	ADRB1
SR-59230A	ADRB2
SR-95639A	CHRM1
SSR-69071	ELANE
STO-609	CAMKK1
STO-609	CAMKK2
SU-4312	KDR
SU-4312	PDGFRB
semaxanib	KDR
semaxanib	FLT1
semaxanib	KIT
semaxanib	PDGFRB
semaxanib	FGFR1
semaxanib	FLT3
semaxanib	MET
semaxanib	PDGFRA
semaxanib	RET
SU-1498	ERBB2
SU-1498	KDR
SU-6656	LYN
SU-6656	AURKB
SU-6656	AURKC
SU-6656	BRSK2
SU-6656	CALM1
SU-6656	CAMK2D
SU-6656	LCK
SU-6656	RET
SU-6656	SRC
SU-6656	YES1
sulpiride	DRD2
sulpiride	CA7
sulpiride	DRD3
sulpiride	CA1
sulpiride	CA12
saclofen	GABBR1
saclofen	GABBR2
saclofen	KCTD12
saclofen	KCTD16
saclofen	KCTD8
salmeterol	ADRB2
saquinavir	CYP3A4
saquinavir	CYP3A5
scoulerine	ADRA1D
scoulerine	ADRA2A
scoulerine	GABRA1
scriptaid	HDAC1
scriptaid	HDAC2
scriptaid	HDAC3
scriptaid	HDAC4
scriptaid	HDAC5
scriptaid	HDAC6
scriptaid	HDAC7
scriptaid	HDAC8
scriptaid	HDAC9
securinine	GABRA1
spironolactone	NR3C2
spironolactone	AR
spironolactone	CACNA1A
spironolactone	CACNA1B
spironolactone	CACNA1C
spironolactone	CACNA1D
spironolactone	CACNA1F
spironolactone	CACNA1G
spironolactone	CACNA1H
spironolactone	CACNA1I
spironolactone	CACNA1S
spironolactone	CACNA2D1
spironolactone	CACNA2D2
spironolactone	CACNA2D3
spironolactone	CACNB1
spironolactone	CACNB2
spironolactone	CACNB3
spironolactone	CACNB4
spironolactone	CACNG1
spironolactone	CYP11B2
spironolactone	KCNA5
spironolactone	KCND3
spironolactone	NR3C1
spironolactone	PGR
spironolactone	SCNN1A
spironolactone	SHBG
ponalrestat	AKR1B1
strophanthidin	ATP1A1
strophanthidin	ATP1A2
strophanthidin	ATP1A3
strophanthidin	ATP1A4
strophanthidin	ATP1B1
strophanthidin	ATP1B2
strophanthidin	ATP1B3
strophanthidin	ATP1B4
strophanthidin	FXYD2
SYK-inhibitor	SYK
syrosingopine	SLC18A2
syrosingopine	SLC18A1
T-0070907	PPARG
T-0156	PDE5A
T-0901317	NR1H3
T-0901317	NR1H2
T-0901317	ABCA1
T-0901317	NCOA1
T-0901317	NCOA2
T-0901317	NR1I2
T-0901317	RORA
T-0901317	RORC
T-0901317	RXRB
T-98475	GNRH1
T-98475	GNRHR
4,5,6,7-tetrabromobenzotriazole	CSNK2A1
4,5,6,7-tetrabromobenzotriazole	AKT1
4,5,6,7-tetrabromobenzotriazole	CHEK1
4,5,6,7-tetrabromobenzotriazole	CSNK2A2
4,5,6,7-tetrabromobenzotriazole	CSNK2B
4,5,6,7-tetrabromobenzotriazole	GSK3B
4,5,6,7-tetrabromobenzotriazole	LCK
4,5,6,7-tetrabromobenzotriazole	MAP2K1
4,5,6,7-tetrabromobenzotriazole	MAPK1
4,5,6,7-tetrabromobenzotriazole	MAPK11
4,5,6,7-tetrabromobenzotriazole	MAPK12
4,5,6,7-tetrabromobenzotriazole	MAPK14
4,5,6,7-tetrabromobenzotriazole	MAPK8
4,5,6,7-tetrabromobenzotriazole	PRKCA
4,5,6,7-tetrabromobenzotriazole	ROCK1
4,5,6,7-tetrabromobenzotriazole	RPS6KB1
4,5,6,7-tetrabromobenzotriazole	SGK1
TC-2559	CHRNA4
TCB2	HTR2A
telmisartan	AGTR1
telmisartan	PPARG
telmisartan	CYP2C19
telmisartan	CYP2J2
telmisartan	PPARA
TER-14687	PRKCQ
thiothixene	HTR2A
thiothixene	DRD1
thiothixene	DRD2
thiothixene	HRH1
THM-I-94	HDAC1
THM-I-94	HDAC10
THM-I-94	HDAC2
THM-I-94	HDAC3
THM-I-94	HDAC6
THM-I-94	HDAC8
tolazamide	KCNJ1
tolazamide	KCNJ10
tolbutamide	ABCC8
tolbutamide	CYP2B6
tolbutamide	CYP2C19
tolbutamide	CYP2C8
tolbutamide	KCNJ1
tolbutamide	KCNJ11
tolbutamide	KCNJ8
tramadol	OPRM1
tramadol	SLC6A2
tramadol	SLC6A4
tramadol	CHRFAM7A
tramadol	CHRM3
tramadol	CYP2B6
tramadol	GRIN3A
tramadol	HTR2C
tramadol	OPRD1
tramadol	OPRK1
triamterene	SCNN1A
triamterene	SCNN1B
triamterene	SCNN1G
triamterene	SCNN1D
trimethobenzamide	DRD2
tripelennamine	HRH1
thenoyltrifluoroacetone	CES1
thenoyltrifluoroacetone	PPARA
thenoyltrifluoroacetone	SDHA
TTNPB	RARB
TTNPB	RARA
TTNPB	RARG
TWS-119	GSK3B
TWS-119	JUN
TWS-119	MYC
tyrphostin-46	EGFR
tyrphostin-47	EGFR
talniflumate	CLCA1
telenzepine	CHRM1
tenidap	ALOX5
tenidap	KCNJ4
tenidap	PTGS1
thiocolchicoside	GABRA1
thiocolchicoside	GABRB2
thiocolchicoside	GABRG2
thiocolchicoside	GLRA1
thiocolchicoside	GLRB
thioperamide	HRH3
thioperamide	HRH4
thioproperazine	ADRA1A
thioproperazine	ADRA1B
thioproperazine	DRD1
thioproperazine	DRD2
thioproperazine	HTR1A
thioproperazine	HTR2A
timolol	ADRB2
timolol	ADRB1
tiotidine	HRH2
atomoxetine	SLC6A2
atomoxetine	SLC6A3
atomoxetine	SLC6A4
atomoxetine	GRIN1
atomoxetine	GRIN2A
atomoxetine	GRIN2B
atomoxetine	GRIN2C
atomoxetine	GRIN2D
atomoxetine	GRIN3A
atomoxetine	GRIN3B
tracazolate	GABRA1
tranilast	HPGDS
tranilast	HRH1
tranilast	IDO1
tranilast	IFNG
tranilast	IL10
tranilast	IL2
tranilast	IL4
tranilast	SLC22A12
tranilast	TGFB1
tranilast	TNF
tranilast	TRPV2
trap-101	OPRL1
trapidil	PDGFRA
tyrphostin-AG-835	EGFR
U-99194	DRD3
U-0126	AKT1
U-0126	CHEK1
U-0126	GSK3B
U-0126	JAK2
U-0126	LCK
U-0126	MAP2K1
U-0126	MAP2K2
U-0126	MAP2K7
U-0126	MAPK1
U-0126	MAPK11
U-0126	MAPK12
U-0126	MAPK14
U-0126	MAPK8
U-0126	PRKCA
U-0126	RAF1
U-0126	ROCK1
U-0126	RPS6KB1
U-0126	SGK1
U-46619	PTGDR
U-46619	PTGDR2
U-46619	PTGER1
U-46619	PTGER2
U-46619	PTGER3
U-46619	PTGER4
U-46619	PTGFR
U-46619	PTGIR
U-46619	TBXA2R
U0126	JAK2
U0126	MAP2K1
U0126	MAP2K2
U0126	MAP3K1
U0126	MAP3K2
UB-165	CHRNA3
UB-165	CHRNA4
UB-165	CHRNB2
UBP-302	GRIK1
brimonidine	ADRA2A
brimonidine	ADRA2B
brimonidine	ADRA2C
brimonidine	AOX1
valsartan	AGTR1
vardenafil	PDE5A
vardenafil	CYP2C19
vardenafil	CYP2C8
vardenafil	CYP3A5
vardenafil	PDE6G
vardenafil	PDE6H
VEGF-receptor-2-kinase-inhibitor-IV	KDR
verapamil	CACNA1C
verapamil	CACNA1D
verapamil	CACNA1G
verapamil	CACNA1S
verapamil	CACNA1A
verapamil	CACNA1B
verapamil	CACNA1F
verapamil	CACNA1I
verapamil	CACNB1
verapamil	CACNB2
verapamil	CACNB3
verapamil	CACNB4
verapamil	CYP2C8
verapamil	CYP2E1
verapamil	CYP3A4
verapamil	CYP3A5
verapamil	CYP3A7
verapamil	DRD2
verapamil	KCNA10
verapamil	KCNA7
verapamil	KCNH2
verapamil	KCNJ11
verapamil	NALCN
verapamil	SCN5A
verapamil	SLC29A4
verapamil	SLC6A4
veratridine	SCN1A
veratridine	SCN3A
veratridine	SCN8A
veratridine	SCN9A
vinblastine	TUBB
vinblastine	JUN
vinblastine	TUBA1A
vinblastine	TUBD1
vinblastine	TUBE1
vinblastine	TUBG1
vincristine	TUBB
vincristine	TUBA4A
VUF-5681	HRH3
vincamine	CHRM1
vincamine	CHRM2
vincamine	CHRM3
vincamine	CHRM4
vinpocetine	PDE1A
vinpocetine	PDE1C
vinpocetine	SCN10A
W-13	CALM1
W-13	MYLK
W-13	PDE1A
W-7	CALM1
W-7	CALM2
W-7	KCNA5
W-7	KCNH2
W-7	TNNC1
W-7	TNNI3
W-9	CALM2
WAY-170523	MMP13
WAY-213613	SLC1A2
apafant	PTAFR
pirinixic-acid	PPARA
xylazine	ADRA2A
xylazine	ADRA2B
xylazine	ADRA2C
xaliproden	HTR1A
Y-134	ESR1
Y-134	ESR2
azasetron	HTR3A
azasetron	HTR3B
YC-1	HIF1A
YC-1	GUCY1A2
YC-1	GUCY1A3
YC-1	GUCY1B3
YM-976	PDE4A
YM-976	PDE4B
YM-976	PDE4C
YM-976	PDE4D
YM-976	TNF
z-prolyl-prolinal	PREP
ZD-2079	ADRB3
ZD-7155	AGTR1
ZD-7288	HCN1
ZD-7288	HCN2
ZD-7288	HCN3
ZD-7288	HCN4
ZK-164015	ESR1
ZK-164015	ESR2
ZK-93423	GABRA1
ZK-93423	GABRA2
ZK-93423	GABRA3
ZK-93423	GABRA5
ZK-93423	GABRB2
ZK-93423	GABRG2
ZK-93426	GABRA1
ZK-93426	GABRA2
ZK-93426	GABRA3
ZK-93426	GABRA5
ZM-241385	ADORA2A
ZM-241385	ADORA2B
ZM-241385	ADORA1
ZM-241385	ADORA3
ZM-306416	FLT1
ZM-306416	KDR
ZM-306416	EGFR
ZM-306416	FLT4
ZM-323881	KDR
zolmitriptan	HTR1B
zolmitriptan	HTR1D
zolmitriptan	HTR1A
zolmitriptan	HTR1F
zolmitriptan	HTR1E
zaprinast	PDE5A
zaprinast	GPR35
zaprinast	PDE1A
zaprinast	PDE4D
zaprinast	PDE9A
zardaverine	PDE4D
zardaverine	PDE3A
zardaverine	PDE4A
zardaverine	PDE4B
zardaverine	PDE4C
zatebradine	HCN1
zatebradine	HCN2
zatebradine	HCN3
zatebradine	HCN4
zuclopenthixol	DRD2
zuclopenthixol	DRD1
zuclopenthixol	ADRA1A
zuclopenthixol	ADRA2A
zuclopenthixol	DRD5
zuclopenthixol	HRH1
zuclopenthixol	HTR2A
betulinic-acid	CASP3
betulinic-acid	CASP8
betulinic-acid	GPBAR1
betulinic-acid	TOP1
bongkrek-acid	SLC25A4
bufalin	ATP1A1
cinobufagin	ATP1A1
cinobufagin	ATP1A2
cinobufagin	ATP1A3
cinobufagin	ATP1A4
cinobufagin	ATP1B1
cinobufagin	ATP1B2
cinobufagin	ATP1B3
cinobufagin	ATP1B4
cinobufagin	FXYD2
flupentixol	DRD2
flupentixol	DRD1
flupentixol	ADRA1A
flupentixol	CHRM1
flupentixol	DRD3
flupentixol	DRD5
flupentixol	HTR2A
coumestrol	ESR1
coumestrol	ESR2
cyclopamine	SMO
cyclopamine	DHH
cyclopamine	IHH
cyclopamine	PTCH1
formestane	CYP19A1
M-3M3FBS	PLCB2
M-3M3FBS	PLCB3
M-3M3FBS	PLCD1
M-3M3FBS	PLCG1
M-3M3FBS	PLCG2
m-chlorophenylbiguanide	HTR3A
m-chlorophenylbiguanide	HTR3B
nTZDpa	PPARG
wiskostatin	WAS
wiskostatin	WASL
alpha-estradiol	ESR1
alpha-estradiol	ESR2
alpha-estradiol	NR1I2
alpha-estradiol	CYP2B6
alpha-estradiol	CYP2C19
alpha-estradiol	CYP2C8
alpha-estradiol	CYP2E1
alpha-estradiol	CYP3A5
alpha-estradiol	CYP3A7
alpha-estradiol	GPER1
alpha-estradiol	KCNMA1
alvespimycin	HSP90AA1
radicicol	ACLY
radicicol	DLAT
radicicol	HSP90AB1
radicicol	HSP90B1
radicicol	MAP3K7
radicicol	OPRM1
radicicol	PDK3
tanespimycin	HSP90AA1
tanespimycin	CHEK1
troglitazone	PPARG
troglitazone	ACSL4
troglitazone	AKR1B1
troglitazone	CCL2
troglitazone	CYP3A4
troglitazone	ESRRA
troglitazone	ESRRG
troglitazone	INS
troglitazone	SERPINE1
troglitazone	SLC29A1
troglitazone	TRPM3
valproic-acid	ABAT
valproic-acid	HDAC1
valproic-acid	SCN1A
valproic-acid	SCN3A
valproic-acid	ACADSB
valproic-acid	ALDH5A1
valproic-acid	HDAC2
valproic-acid	HDAC9
valproic-acid	OGDH
valproic-acid	SCN10A
valproic-acid	SCN11A
valproic-acid	SCN1B
valproic-acid	SCN2A
valproic-acid	SCN2B
valproic-acid	SCN3B
valproic-acid	SCN4A
valproic-acid	SCN4B
valproic-acid	SCN5A
valproic-acid	SCN7A
valproic-acid	SCN8A
valproic-acid	SCN9A
withaferin-a	ACHE
withaferin-a	BCHE
withaferin-a	IKBKB
JTC-801	OPRL1
epigallocatechin	FASN
epigallocatechin	APP
epigallocatechin	BACE1
epigallocatechin	CYP19A1
epigallocatechin	DYRK1A
epigallocatechin	ELANE
epigallocatechin	ENOX2
epigallocatechin	EP300
epigallocatechin	IDO1
epigallocatechin	KAT2B
epigallocatechin	KDR
epigallocatechin	MMP14
epigallocatechin	MMP2
epigallocatechin	PPARA
epigallocatechin	PREP
epigallocatechin	SLC5A1
capsaicin	TRPV1
capsaicin	CFTR
capsaicin	ENOX2
BAY-K8644	CACNA1C
orteronel	CYP17A1
BAX-channel-blocker	BAX
itraconazole	CYP3A5
itraconazole	CYP3A7
itraconazole	CYP51A1
itraconazole	KDR
SN-38	TOP1
zileuton	ALOX5
oligomycin-a	ATP5A1
BRD-A83255679	GPER1
RITA	MDM2
RITA	TXNRD1
RITA	TXNRD2
7-nitroindazole	NOS1
7-nitroindazole	NOS2
7-nitroindazole	NOS3
alda-1	ALDH2
rotenone	MT-ND1
dactolisib	MTOR
dactolisib	PIK3CA
dactolisib	PIK3CG
dactolisib	PIK3CD
dactolisib	ATR
dactolisib	PIK3CB
XAV-939	TNKS
XAV-939	TNKS2
PRIMA1	ACHE
phloretin	AQP9
phloretin	CLCN3
phloretin	SLC23A1
SCH-79797	F2R
gossypol	BCL2
gossypol	BCL2L1
gossypol	MCL1
gossypol	BCL2L2
gossypol	CTGF
gossypol	EGF
4-iodo-6-phenylpyrimidine	MIF
CD-1530	RARG
imiquimod	TLR7
imiquimod	TLR8
cytochalasin-b	ACTB
CD-437	RARG
AGK-2	SIRT2
NVP-AUY922	HSP90AA1
NVP-AUY922	HSP90AA2
NVP-AUY922	HSP90AB1
cerulenin	FASN
tivozanib	FLT1
tivozanib	FLT4
tivozanib	KDR
tivozanib	KIT
tivozanib	PDGFRA
tivozanib	PDGFRB
MK-1775	WEE1
selumetinib	MAP2K1
selumetinib	MAP2K2
FK-866	NAMPT
FK-866	PARP1
serdemetan	MDM2
KO-143	ABCG2
C-646	EP300
PF-04217903	MET
BRD-K89329876	KIF11
16,16-dimethylprostaglandin-e2	HPGD
BRD-K92980438	HK2
SJ-172550	MDM4
AC-55649	RARB
AC-55649	RARA
fatostatin	SREBF1
fatostatin	SREBF2
calcitriol	VDR
calcitriol	CYP3A5
BRD-K86682249	PTPN1
BRD-K86682249	PTPN11
15-delta-prostaglandin-j2	PPARG
15-delta-prostaglandin-j2	NR1H4
BRD-K30064966	CASP3
triptolide	CYP2C19
triptolide	RELA
9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	RELA
BRD-K98404142	G6PD
2-fluoropalmitic-acid	ACSL1
CHEMBL-399379	ACLY
RS-23597-190	HTR4
idarubicin	TOP2A
PIK-75	PIK3CA
PIK-75	PIK3CB
PIK-75	PIK3CD
PIK-75	PIK3CG
PIK-75	PRKDC
7b-cis	XPO1
ABT-737	BCL2
ABT-737	BCL2L1
ABT-737	BCL2L2
navitoclax	BCL2
navitoclax	BCL2L1
navitoclax	BCL2L2
ABT-751	TUBB
veliparib	PARP1
veliparib	PARP2
tyrphostin-AG-112	EGFR
rucaparib	PARP1
rucaparib	PARP2
AG-14361	PARP1
AICA-ribonucleotide	ATIC
AICA-ribonucleotide	PRKAA1
APO-866	NAMPT
APO-866	PARP1
AS-605240	MAOB
AS-605240	PIK3CA
AS-605240	PIK3CB
AS-605240	PIK3CD
AS-605240	PIK3CG
AZD-7545	PDK1
AZD-7545	PDK2
olaparib	PARP1
olaparib	PARP2
olaparib	PARP3
AZD-8055	MTOR
AKT-inhibitor-IV	AKT1
10-DEBC	PIM1
AKT-inhibitor-1-2	AKT1
AKT-inhibitor-1-2	AKT2
AKT-inhibitor-1-2	AKT3
3-amino-benzamide	PARP1
arachidonyl-trifluoro-methane	PLA2G4A
bortezomib	PSMB5
bortezomib	CASP3
bortezomib	CYP2C19
bortezomib	NFKB1
bortezomib	PSMB1
bortezomib	PSMB2
bortezomib	PSMD1
bortezomib	PSMD2
bortezomib	RELA
BI-2536	PLK1
BI-2536	BRD4
BI-2536	PLK2
BI-2536	PLK3
BIBR-1532	TERT
pyrvinium-pamoate	AR
BML-259	CDK2
BML-259	CDK5
BMS-536924	IGF1R
BMS-536924	AKT1
BMS-536924	CCNE1
BMS-536924	CDK2
BMS-536924	CYP3A4
BMS-536924	ERBB2
BMS-536924	INSR
BMS-536924	KDR
BMS-536924	LCK
BMS-536924	MAPK1
BMS-536924	MET
BMS-536924	PDGFRA
BMS-536924	PDGFRB
BMS-641988	AR
BMS-754807	IGF1R
BMS-754807	AKT1
BO2-inhibits-RAD51	RAD51
BX-795	PDPK1
BX-795	CDK2
BX-795	CHEK1
BX-795	GSK3B
BX-795	IKBKE
BX-795	KDR
BX-795	PDK1
BX-795	TBK1
CAY-10594	PLD2
CAY-10618	NAMPT
tosedostat	ANPEP
tosedostat	NPEPPS
tosedostat	LAP3
CI-976	ACAT1
CI-976	CES1
CI-976	SOAT1
CYT-997	TUBB
batimastat	ADAM28
batimastat	ADAMTS5
batimastat	MMP1
batimastat	MMP12
batimastat	MMP16
batimastat	MMP2
batimastat	MMP7
batimastat	MMP8
DL-TBOA	SLC1A1
DL-TBOA	SLC1A2
DL-TBOA	SLC1A3
DL-TBOA	SLC1A6
DL-TBOA	SLC1A7
AR-C133057XX	NOS2
AR-C133057XX	NOS1
M2-PK-activator	PKM
curcumin	PTGS1
curcumin	PTGS2
curcumin	APP
curcumin	CA1
curcumin	CA12
curcumin	CA14
curcumin	CA2
curcumin	CA4
curcumin	CA6
curcumin	CA9
curcumin	CCND1
curcumin	CYP3A4
curcumin	DNMT1
curcumin	DNMT3B
curcumin	EP300
curcumin	G6PC
curcumin	MAPT
curcumin	MMP13
curcumin	MMP9
curcumin	NOS2
curcumin	XDH
cytosporone-b	NR4A1
DG-041	PTGER3
DG-041	CYP3A4
DG-041	PTGER2
DG-041	PTGER4
DG-041	PTGIR
DL-PDMP	ASAH1
DL-PDMP	UGCG
etomoxir	CPT1A
etomoxir	CPT1B
ERK-inhibitor-11E	MAPK1
EX-527	SIRT1
evodiamine	TRPV1
FTI-276	FNTA
FTI-276	FNTB
fumonisin-b1	CERS1
GANT-58	DHH
GANT-58	GLI1
GANT-58	IHH
GMX-1778	NAMPT
GSK-2334470	PDPK1
GSK-2334470	AURKA
GSK-2334470	AURKB
GSK-2334470	PDK1
ISOX	HDAC6
neratinib	EGFR
neratinib	ERBB2
neratinib	ERBB4
neratinib	KDR
HLI-373	MDM2
IKK-inhibitor-X	IKBKB
IKK-inhibitor-X	NFKB2
IKK3-inhibitor-IX	IKBKE
IKK3-inhibitor-IX	IKBKG
isoliquiritigenin	AKR1B1
isoliquiritigenin	HRH2
isoliquiritigenin	SIRT1
importazole	KPNB1
ingenol	PRKCD
ingenol	PRKCE
inhibitor-BEC	ARG2
inhibitor-BEC	ARG1
dalcetrapib	CETP
JZL-184	MGLL
KU-0060648	PIK3CA
KU-0060648	PIK3CB
KU-0060648	PIK3CD
KU-0060648	PIK3CG
KU-0060648	PRKDC
KU-0063794	MTOR
L-690330	IMPA1
L-690488	IMPA1
sulforaphane	NFE2L2
erismodegib	SMO
pemetrexed	TYMS
pemetrexed	DHFR
pemetrexed	GART
pemetrexed	ATIC
pemetrexed	SLC22A8
lenalidomide	CRBN
lenalidomide	TNF
lenalidomide	CDH5
lenalidomide	PTGS2
lenalidomide	TNFSF11
maraviroc	CCR5
maraviroc	CYP3A5
enzalutamide	AR
enzalutamide	CYP2C19
enzalutamide	CYP2C8
enzalutamide	CYP3A4
methylene-blue	ACHE
methylene-blue	MAPT
quiflapon	ALOX5AP
quiflapon	ALOX5
MK-2206	AKT1
MK-2206	AKT2
MK-2206	AKT3
MLN-2238	PSMB1
MLN-4924	NAE1
MLN-4924	UBA3
MST-312	TERT
NF-449	P2RX1
NFKB-activation-inhibitor-II	RELA
NU-1025	PARP1
narciclasine	RHOA
nutlin-3	MDM2
nutlin-3	TP53
linsitinib	IGF1R
linsitinib	INSR
linsitinib	INSRR
sparfosic-acid	CAD
sparfosic-acid	CA2
sparfosic-acid	CA4
phenethyl-isothiocyanate	CYP2E1
perhexiline	CPT1A
perhexiline	CPT2
PF-750	FAAH
PF-3845	FAAH
PI-103	PIK3CA
PI-103	PIK3CG
PI-103	MTOR
PI-103	PIK3CB
PI-103	PIK3CD
PI-103	PRKDC
PJ-34	EEF2
PJ-34	PARP1
PJ-34	PARP15
PJ-34	PARP3
PKCbeta-inhibitor	PRKCB
vemurafenib	BRAF
vemurafenib	CYP2C19
vemurafenib	CYP3A4
vemurafenib	CYP3A5
vemurafenib	RAF1
PNU-74654	CTNNB1
PNU-74654	TCF4
PP-30	RAF1
prima-1-met	TP53
PRL-3-inhibitor-I	PTP4A3
PT-630	DPP4
PT-630	FAP
PTB1	PTPN1
PX-12	TXN
PX-12	TXNRD1
PX-12	TXNRD2
parbendazole	TUBB
promethazine	HRH1
promethazine	ADRA1A
promethazine	CALM1
promethazine	CHRM1
promethazine	CHRM2
promethazine	CHRM3
promethazine	CHRM4
promethazine	CHRM5
promethazine	DRD2
promethazine	HTR2A
QS-11	ARFGAP1
quinine	KCNN4
quinine	ABCB1
quinine	CYP2D6
quinine	GP9
quinine	KCNB2
quinine	SLC29A4
fostamatinib	SYK
fostamatinib	FLT3
fostamatinib	RET
RG-108	DNMT1
RG-108	DNMT3B
RHO-kinase-inhibitor-III[rockout]	IMPDH2
RHO-kinase-inhibitor-III[rockout]	ROCK1
RO-28-1675	GCK
SB-216763	GSK3B
SB-216763	CCNA2
SB-216763	CDK2
SB-216763	GSK3A
SID-26681509	CTSL
SRT-1720	SIRT1
STAT3-inhibitor-VI	STAT3
SU-11652	KDR
SU-11652	PDGFRB
SU-11652	CAMK1G
SU-11652	FGF2
SU-11652	FGFR1
SU-11652	FLT1
SU-11652	KIT
SU-11652	PDGFRA
orantinib	PDGFRB
orantinib	AURKA
orantinib	AURKB
orantinib	KDR
orantinib	EGFR
orantinib	FGFR1
orantinib	FGFR2
orantinib	PDGFRA
orantinib	TBK1
salermide	SIRT1
salermide	SIRT2
TG-101348	JAK2
TG-101348	FLT3
TG-101348	BRD4
TG-101348	JAK1
TG-101348	JAK3
TG-101348	RET
TG-101348	TYK2
TPCA-1	IKBKB
TW-37	BCL2
TW-37	BCL2L1
TW-37	MCL1
temozolomide	TOP2A
tipifarnib	FNTA
tipifarnib	FNTB
tipifarnib-P2	FNTA
tipifarnib-P2	FNTB
cyanoquinoline-11	MAP3K8
cyanoquinoline-11	MMP3
triacsin-c	ACSL1
UK-356618	MMP3
UK-356618	MMP13
UK-356618	MMP14
UK-356618	MMP2
UK-356618	MMP9
UNC-0321	EHMT2
ursolic-acid	HSD11B1
ursolic-acid	PTPN1
ursolic-acid	ACHE
ursolic-acid	CASP3
ursolic-acid	PLA2G1B
ursolic-acid	PYGM
ursolic-acid	STS
VER-155008	HSPA1A
tozasertib	AURKA
tozasertib	AURKB
tozasertib	ABL1
tozasertib	AURKC
tozasertib	BCR
tozasertib	FLT3
tozasertib	JAK2
tozasertib	DDR2
tozasertib	LCK
valdecoxib	PTGS2
valdecoxib	CA12
valdecoxib	CYP2C19
YK-4279	DHX9
YK-4279	EWSR1
YK-4279	FLI1
YM-155	BIRC5
ZM-336372	BRAF
ZM-336372	LCK
ZM-336372	MAPK14
ZM-336372	RAF1
atorvastatin	HMGCR
atorvastatin	DPP4
atorvastatin	AHR
atorvastatin	CYP3A5
atorvastatin	FASLG
auranofin	IKBKB
auranofin	PRDX5
auranofin	TRPA1
auranofin	TXNRD1
auranofin	TXNRD2
blebbistatin	MYH2
chaetocin	EHMT2
chaetocin	SUV39H1
elesclomol	TOP2A
IWR-1-ENDO	TNKS
IWR-1-ENDO	TNKS2
erastin	VDAC2
gemcitabine	RRM1
gemcitabine	CMPK1
gemcitabine	RRM2
gemcitabine	TYMS
myriocin	AKT1
myriocin	SPTLC1
myriocin	SPTLC2
myriocin	SPTLC3
phorbol-12-myristate-13-acetate	CD4
phorbol-12-myristate-13-acetate	KCNT2
phorbol-12-myristate-13-acetate	PRKCA
phorbol-12-myristate-13-acetate	TRPV4
zebularine	CDA
zebularine	DNMT1
temsirolimus	MTOR
temsirolimus	PTEN
LDN-193189	ACVR1
LDN-193189	BMPR1A
BRD-K91691979	GBA
BRD-K19059335	RUNX1
BRD-K14609189	PPARG
benzbromarone	ABCC1
benzbromarone	SLC22A12
BRD-A12633378	KCNQ4
BRD-A12633378	KCNQ2
BRD-K77690805	PKM
BRD-K58033748	CHRM1
BRD-K58033748	CHRM2
BRD-K58033748	CHRM3
BRD-K58033748	CHRM4
BRD-K58033748	CHRM5
BRD-K27074404	SLC12A5
BRD-K00313977	APEX1
EMF-BCA1-64	CASP3
BRD-K11757396	NPSR1
BRD-K12401458	S1PR4
BRD-K14048378	S1PR3
BRD-K14236372	S1PR4
BRD-K16618170	S1PR4
KUC104502N	OPRK1
BRD-K36038115	NPBWR1
KU-C103871	SMAD3
EMF-bca1-57	CASP3
FR-180204	MAPK1
FR-180204	MAPK3
10H-phenothiazin-10-yl)(p-tolyl)methanone	BCHE
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	MMP13
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	MMP8
2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	MMP9
BRD-K73709114	GBA
mafenide	CA6
mafenide	CA12
mafenide	CA14
mafenide	CA2
mafenide	CA4
mafenide	CA9
BRD-K76211160	CYP11B2
5-nonyloxytryptamine	HTR1B
5-nonyloxytryptamine	HTR1D
azathioprine	HPRT1
azathioprine	IMPDH1
azathioprine	PPAT
KU-C103428N	NFE2
BRD-A69470004	XIAP
BRD-A05680309	CASP8
BRD-A05680309	XIAP
BRD-A97035593	XIAP
BRD-K55186349	APLNR
myricetin	PIK3CG
myricetin	AR
myricetin	CYP3A4
BRD-K56658166	CACNA1B
BRD-K28452084	OPRK1
BRD-K97274161	OPRK1
BRD-K20401833	RORA
BRD-K70693222	CLK1
BRD-K70693222	CLK4
BRD-K70693222	DYRK1A
latrepirdine	HTR6
latrepirdine	GRIN2B
latrepirdine	HRH1
BRD-K78883024	NPSR1
BRD-K30351863	APEX1
BRD-K37940862	NPSR1
